epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9773,1.50488,7.53566,1.33196,0.20662,0.21615,0.08723,0.03545,1.95955,8.72861,1.59353,0.00062,0.00062,0.00062
2,38.4265,1.63253,2.19783,1.27918,0.09303,0.14622,0.04034,0.01576,2.19829,6.03745,2.0688,0.00124753,0.00124753,0.00124753
3,52.9921,1.73547,1.73502,1.43,0.00991,0.32613,0.00649,0.00251,2.24057,49.8512,3.49438,0.00186238,0.00186238,0.00186238
4,67.0504,1.8098,1.96316,1.44404,1e-05,0.00064,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,81.3175,1.78551,1.7095,1.44859,0.00661,0.33503,0.00463,0.00193,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,95.6165,1.76248,1.61172,1.38192,0.06926,0.24603,0.0338,0.01194,2.14117,16.4864,1.74592,0.001901,0.001901,0.001901
7,109.622,1.60021,1.4148,1.31474,0.14354,0.30451,0.10156,0.04096,1.99581,6.96126,1.54171,0.0018812,0.0018812,0.0018812
8,123.97,1.64173,1.40572,1.31774,0.39523,0.35346,0.26334,0.11772,1.87701,5.32714,1.48269,0.0018614,0.0018614,0.0018614
9,138.203,1.60015,1.40933,1.33707,0.06044,0.48887,0.04251,0.01831,1.95565,19.0919,1.54002,0.0018416,0.0018416,0.0018416
10,153.526,1.53714,1.3662,1.29838,0.63881,0.51558,0.54113,0.23201,1.83877,1.8486,1.41922,0.0018218,0.0018218,0.0018218
11,169.177,1.53961,1.27382,1.2769,0.63524,0.52588,0.52545,0.22299,1.81433,2.0788,1.42396,0.001802,0.001802,0.001802
12,184.318,1.47903,1.19445,1.24413,0.63652,0.52066,0.55291,0.24191,1.81727,1.53563,1.44198,0.0017822,0.0017822,0.0017822
13,200.45,1.46943,1.1498,1.22357,0.67858,0.58805,0.607,0.25798,1.8222,1.44682,1.42431,0.0017624,0.0017624,0.0017624
14,216.012,1.44519,1.10124,1.23245,0.69998,0.58143,0.60033,0.27158,1.75811,1.41629,1.39471,0.0017426,0.0017426,0.0017426
15,231.446,1.49795,1.15332,1.20639,0.73738,0.56008,0.60047,0.25818,1.85555,1.50262,1.45205,0.0017228,0.0017228,0.0017228
16,247.186,1.46031,1.14098,1.1971,0.72325,0.4818,0.52758,0.24407,1.79965,1.67818,1.39306,0.001703,0.001703,0.001703
17,262.768,1.40413,1.04785,1.19114,0.63607,0.59949,0.57482,0.25078,1.80285,1.45693,1.39631,0.0016832,0.0016832,0.0016832
18,278.507,1.36843,1.12494,1.17494,0.76283,0.56008,0.62064,0.28896,1.74673,1.3323,1.38046,0.0016634,0.0016634,0.0016634
19,294.024,1.36312,1.04188,1.15971,0.75535,0.62556,0.67301,0.29773,1.77746,1.1821,1.37243,0.0016436,0.0016436,0.0016436
20,309.752,1.38251,1.03885,1.17158,0.68169,0.59822,0.61568,0.27615,1.79482,1.26642,1.40283,0.0016238,0.0016238,0.0016238
21,325.386,1.35443,1.01162,1.16421,0.74397,0.61348,0.67087,0.30394,1.73471,1.23627,1.35871,0.001604,0.001604,0.001604
22,341.234,1.29216,1.00293,1.13997,0.71694,0.62873,0.65409,0.30944,1.71496,1.20674,1.34704,0.0015842,0.0015842,0.0015842
23,356.648,1.28411,0.93374,1.12367,0.73507,0.57533,0.60721,0.28438,1.7345,1.3128,1.35249,0.0015644,0.0015644,0.0015644
24,372.354,1.31535,0.94478,1.13955,0.76062,0.64081,0.68978,0.31894,1.71013,1.18249,1.35072,0.0015446,0.0015446,0.0015446
25,387.836,1.32893,0.96934,1.14537,0.68105,0.64615,0.61712,0.28598,1.70856,1.38224,1.36453,0.0015248,0.0015248,0.0015248
26,403.654,1.31905,0.95245,1.13917,0.7523,0.68023,0.69814,0.32569,1.64414,1.1613,1.30828,0.001505,0.001505,0.001505
27,419.141,1.26797,0.94953,1.12832,0.74062,0.65894,0.69417,0.31935,1.72353,1.12745,1.35099,0.0014852,0.0014852,0.0014852
28,434.994,1.22833,0.8877,1.11609,0.71908,0.65099,0.65747,0.3145,1.70262,1.13147,1.33043,0.0014654,0.0014654,0.0014654
29,450.348,1.2365,0.85459,1.11566,0.77681,0.66052,0.6969,0.33746,1.69402,1.10585,1.34565,0.0014456,0.0014456,0.0014456
30,466.168,1.23556,0.85406,1.09895,0.76254,0.67959,0.70726,0.33364,1.69004,1.12849,1.37424,0.0014258,0.0014258,0.0014258
31,481.86,1.25736,0.85636,1.11439,0.78747,0.67838,0.71773,0.33236,1.67919,1.0951,1.34764,0.001406,0.001406,0.001406
32,497.619,1.21087,0.88121,1.07826,0.7877,0.67641,0.71145,0.33393,1.67679,1.11057,1.31772,0.0013862,0.0013862,0.0013862
33,513.06,1.1667,0.81138,1.05791,0.75314,0.70057,0.72329,0.35118,1.65035,1.05149,1.3104,0.0013664,0.0013664,0.0013664
34,528.562,1.19759,0.81145,1.0926,0.80397,0.65702,0.70247,0.33185,1.758,1.16475,1.39225,0.0013466,0.0013466,0.0013466
35,544.303,1.20409,0.81301,1.0788,0.79104,0.64978,0.70154,0.32821,1.71466,1.16885,1.36178,0.0013268,0.0013268,0.0013268
36,559.963,1.22974,0.84147,1.09448,0.71146,0.64526,0.67807,0.32371,1.66884,1.25494,1.34381,0.001307,0.001307,0.001307
37,575.519,1.16465,0.78272,1.07426,0.71199,0.66624,0.67768,0.32394,1.64308,1.20703,1.33646,0.0012872,0.0012872,0.0012872
38,591.045,1.14026,0.7795,1.0593,0.77769,0.70248,0.71083,0.34295,1.65319,1.01418,1.35809,0.0012674,0.0012674,0.0012674
39,606.674,1.25499,0.85046,1.07527,0.74663,0.68378,0.71299,0.33805,1.67367,1.06232,1.34856,0.0012476,0.0012476,0.0012476
40,622.351,1.16707,0.76099,1.08914,0.7792,0.67578,0.71244,0.33687,1.65162,1.06061,1.31254,0.0012278,0.0012278,0.0012278
41,637.84,1.12986,0.72807,1.05537,0.79701,0.67644,0.72324,0.34599,1.65182,1.05979,1.33393,0.001208,0.001208,0.001208
42,653.33,1.12731,0.71087,1.05557,0.77677,0.70375,0.73449,0.35786,1.63111,1.01957,1.30384,0.0011882,0.0011882,0.0011882
43,669.225,1.071,0.85147,0.99846,0.78541,0.66306,0.71303,0.34841,1.65775,1.07405,1.32329,0.0011684,0.0011684,0.0011684
44,683.7,1.11172,0.73193,1.06169,0.80143,0.69676,0.73937,0.36086,1.66421,1.01361,1.3435,0.0011486,0.0011486,0.0011486
45,698.906,1.1331,0.71069,1.05163,0.77474,0.71496,0.73024,0.34496,1.66503,0.99128,1.33609,0.0011288,0.0011288,0.0011288
46,714.672,1.06815,0.69893,1.03634,0.78844,0.71202,0.72675,0.35067,1.6448,0.98743,1.33669,0.001109,0.001109,0.001109
47,730.425,1.09977,0.69895,1.03376,0.77691,0.71329,0.72586,0.35729,1.63101,1.02582,1.33791,0.0010892,0.0010892,0.0010892
48,745.355,1.11768,0.70452,1.047,0.80417,0.69702,0.73684,0.359,1.64354,1.04069,1.31386,0.0010694,0.0010694,0.0010694
49,760.504,1.04317,0.69392,1.04563,0.76264,0.71265,0.72894,0.35293,1.64728,1.02122,1.33442,0.0010496,0.0010496,0.0010496
50,775.334,1.06033,0.68476,1.02146,0.79992,0.7091,0.75334,0.35899,1.65351,1.00394,1.3409,0.0010298,0.0010298,0.0010298
51,790.821,1.07157,0.71449,1.02182,0.81423,0.70312,0.74303,0.36004,1.64701,0.99629,1.32297,0.00101,0.00101,0.00101
52,807.84,1.08244,0.69422,1.03136,0.82,0.67578,0.7307,0.3566,1.65201,1.01434,1.31875,0.0009902,0.0009902,0.0009902
53,824.019,1.03122,0.66443,1.01975,0.81362,0.70312,0.73364,0.35612,1.64487,1.02481,1.31323,0.0009704,0.0009704,0.0009704
54,839.004,1.05568,0.6861,0.99841,0.8268,0.71837,0.7644,0.38127,1.6286,0.93717,1.32864,0.0009506,0.0009506,0.0009506
55,854.35,1.04067,0.65466,1.00288,0.8014,0.70034,0.74131,0.36794,1.63684,0.97197,1.33355,0.0009308,0.0009308,0.0009308
56,870.023,1.00765,0.67042,0.97875,0.79972,0.7171,0.75858,0.37149,1.6043,0.98051,1.3102,0.000911,0.000911,0.000911
57,885.613,0.99425,0.64688,0.97992,0.78239,0.71771,0.74199,0.36746,1.60695,0.98008,1.30844,0.0008912,0.0008912,0.0008912
58,900.496,0.97286,0.64162,0.99007,0.82154,0.72918,0.76676,0.38027,1.61336,0.92517,1.30262,0.0008714,0.0008714,0.0008714
59,914.571,0.95299,0.61188,0.97742,0.80819,0.72473,0.75742,0.38057,1.61781,0.95256,1.29032,0.0008516,0.0008516,0.0008516
60,929.343,0.99116,0.63796,0.98143,0.79756,0.72092,0.74838,0.36574,1.61563,0.99972,1.30311,0.0008318,0.0008318,0.0008318
61,944.799,0.96453,0.61507,0.98012,0.80617,0.71519,0.76068,0.37449,1.63823,0.98021,1.30839,0.000812,0.000812,0.000812
62,958.744,0.93958,0.6236,0.97056,0.82933,0.70693,0.7524,0.36804,1.62543,0.96342,1.31123,0.0007922,0.0007922,0.0007922
63,973.459,0.95559,0.61731,0.97556,0.7811,0.72137,0.75002,0.372,1.61197,0.97559,1.31698,0.0007724,0.0007724,0.0007724
64,988.881,0.92437,0.58675,0.9632,0.83099,0.68454,0.74328,0.37017,1.62526,0.95218,1.32537,0.0007526,0.0007526,0.0007526
65,1004.19,0.9432,0.58888,0.97761,0.82532,0.72346,0.76694,0.38177,1.61058,0.92418,1.30754,0.0007328,0.0007328,0.0007328
66,1019.25,0.9966,0.61053,0.98552,0.81461,0.71233,0.76608,0.37259,1.60373,0.9579,1.30416,0.000713,0.000713,0.000713
67,1034.43,0.91796,0.57131,0.97237,0.81744,0.7082,0.76229,0.37041,1.65495,0.95591,1.33926,0.0006932,0.0006932,0.0006932
68,1049.8,0.95439,0.59484,0.97599,0.82778,0.72112,0.758,0.37121,1.62524,0.93691,1.33344,0.0006734,0.0006734,0.0006734
69,1065.14,0.88873,0.57023,0.97027,0.82689,0.73184,0.77336,0.38553,1.59863,0.92927,1.29937,0.0006536,0.0006536,0.0006536
70,1079.39,0.88379,0.56376,0.95589,0.84268,0.7171,0.77356,0.37576,1.61948,0.92046,1.28811,0.0006338,0.0006338,0.0006338
71,1093.4,0.88893,0.54457,0.95079,0.83507,0.71779,0.78184,0.39223,1.59535,0.90981,1.29726,0.000614,0.000614,0.000614
72,1107.44,0.88344,0.5668,0.95262,0.82063,0.73002,0.77155,0.38433,1.60328,0.90259,1.32174,0.0005942,0.0005942,0.0005942
73,1122.58,0.89923,0.5554,0.94122,0.83253,0.73637,0.77628,0.38608,1.58311,0.92421,1.3057,0.0005744,0.0005744,0.0005744
74,1137.98,0.86922,0.58196,0.95906,0.83372,0.71719,0.77888,0.38879,1.59451,0.91153,1.30438,0.0005546,0.0005546,0.0005546
75,1152.84,0.83772,0.59469,0.96146,0.83065,0.72344,0.76926,0.37823,1.59285,0.94417,1.31987,0.0005348,0.0005348,0.0005348
